#{"t_start": 1753871221.667517, "env_id": "None"}
r,l,t
-2.0,20,2.644896
-2.0,20,2.651859
-2.0,20,2.658374
-2.0,20,2.664882
-2.0,20,2.6727
-2.0,20,2.679966
-2.0,20,2.687251
-2.0,20,2.693972
-10.8,9,2.697191
-10.1,2,2.698435
-11.3,14,2.702393
-10.3,4,2.703887
-2.0,20,2.710367
-2.0,20,2.717031
-10.0,1,2.71726
-10.0,1,2.718289
-2.0,20,2.724792
-2.0,20,2.731368
-2.0,20,2.737899
-2.0,20,2.74446
-2.0,20,2.750984
-2.0,20,2.757545
-2.0,20,2.764044
-2.9,20,2.770548
-2.0,20,2.777052
-2.0,20,2.783681
-2.0,20,2.790202
-2.0,20,2.796712
-2.0,20,2.80333
-11.4,15,2.80831
-10.0,1,2.808494
-2.0,20,2.814947
-2.0,20,2.82164
-2.0,20,2.828238
-2.0,20,2.834862
-11.6,17,2.841377
-2.0,20,2.848563
-2.0,20,2.85561
-2.0,20,2.862268
-2.0,20,2.869091
-2.0,20,2.875672
-2.0,20,2.882264
-2.0,20,2.888992
-10.9,10,2.892283
-10.1,2,2.893469
-2.0,20,2.900071
-2.0,20,2.906727
-2.0,20,2.913278
-2.0,20,2.919863
-2.0,20,2.926401
-2.0,20,2.93298
-2.0,20,2.939578
-2.0,20,2.946131
-2.0,20,2.952717
-11.8,19,2.958233
-10.7,8,2.96117
-10.0,1,2.961346
-10.0,1,2.961514
-10.3,4,2.962982
-2.0,20,2.969498
-2.0,20,2.976012
-2.0,20,2.982581
-2.0,20,2.989241
-10.3,4,2.990792
-10.5,6,2.992569
-2.0,20,2.999017
-10.7,8,3.002019
-10.0,1,3.002199
-11.5,16,3.00826
-10.2,3,3.009667
-10.0,1,3.009857
-10.2,3,3.011347
-2.0,20,3.018824
-10.7,8,3.021057
-2.0,20,3.027632
-2.0,20,3.034318
-2.0,20,3.040852
-2.0,20,3.047338
-2.0,20,3.054093
-2.0,20,3.06065
-11.1,12,3.065237
-2.0,20,3.071827
-2.0,20,3.078354
-2.0,20,3.084943
-2.0,20,3.091544
-2.0,20,3.098089
-10.7,8,3.100342
-10.8,9,3.103477
-2.0,20,3.109947
-2.0,20,3.116553
-2.0,20,3.123091
-2.0,20,3.130139
-2.0,20,3.137806
-2.0,20,3.14494
-2.0,20,3.152262
-2.0,20,3.159021
-2.0,20,3.165658
-10.6,7,3.16768
-10.1,2,3.168901
-10.1,2,3.169234
-10.1,2,3.170435
-11.1,12,3.174035
-10.1,2,3.17436
-10.1,2,3.176304
-2.0,20,3.18405
-2.0,20,3.190999
-2.0,20,3.197678
