#{"t_start": 1753900099.014961, "env_id": "None"}
r,l,t
5.9,14,4.035715
-10.2,3,4.036188
-13.7,10,4.037696
-8.6,20,4.040682
-14.1,4,4.041377
-10.0,1,4.041548
-10.0,1,4.041717
8.3,9,4.043092
-10.1,2,4.043416
8.9,12,4.045233
-10.5,6,4.046147
-7.7,20,4.049194
1.8,18,4.051946
4.0,14,4.054031
1.7,19,4.056833
2.4,19,4.05964
-12.6,9,4.060985
6.4,19,4.06379
-10.1,2,4.064109
5.8,4,4.064718
-10.0,1,4.064886
5.3,20,4.06783
9.0,11,4.069475
-11.5,7,4.070526
-14.4,8,4.071722
1.8,17,4.074226
1.6,19,4.077033
6.7,15,4.07925
-10.8,9,4.080597
9.1,10,4.082089
-15.0,14,4.084172
9.2,9,4.085513
4.8,4,4.086123
-14.7,12,4.087912
0.8,18,4.090558
4.0,14,4.092643
-8.5,20,4.09558
7.6,9,4.097035
8.6,15,4.099309
-12.2,4,4.099929
7.1,11,4.10159
5.0,13,4.103545
9.2,9,4.104989
2.1,14,4.107099
-12.8,10,4.108625
-11.4,6,4.10954
8.0,12,4.11135
6.3,10,4.11286
-12.9,11,4.114508
-11.8,10,4.116022
-11.7,9,4.117389
9.3,8,4.118598
9.2,9,4.119961
1.5,20,4.122964
-0.4,20,4.12593
8.2,10,4.127444
4.2,12,4.129229
-2.9,20,4.132198
3.7,15,4.134514
2.9,17,4.137044
-13.4,7,4.138105
-12.2,14,4.140263
-10.6,7,4.141318
6.2,11,4.142939
-17.0,15,4.145133
6.7,15,4.147322
17.3,12,4.149072
4.8,15,4.151277
6.9,13,4.153177
9.1,10,4.15464
-5.7,20,4.157529
9.1,10,4.159066
13.2,11,4.160684
6.3,19,4.163455
-10.5,6,4.164343
2.6,18,4.166956
-10.9,10,4.168411
6.9,14,4.170443
-13.1,13,4.172332
9.1,10,4.173778
-10.2,3,4.174228
6.6,16,4.176547
4.9,15,4.178728
-6.7,20,4.181634
5.7,16,4.184022
-10.8,9,4.185344
-15.9,13,4.18723
-15.2,15,4.189396
5.6,17,4.191858
9.2,9,4.193176
-6.6,20,4.196066
13.0,13,4.19802
-12.8,10,4.199482
4.7,16,4.201788
4.9,14,4.203808
6.9,2,4.204117
6.2,11,4.205711
6.8,3,4.206166
-10.3,4,4.206757
10.8,16,4.20907
6.7,15,4.211238
-11.0,11,4.21284
7.0,12,4.214595
-12.4,6,4.215481
-15.5,10,4.216934
-12.4,6,4.217808
7.1,11,4.219396
-11.5,7,4.22042
-12.9,12,4.222163
9.1,10,4.223612
7.6,16,4.225916
5.3,9,4.227223
-12.4,20,4.230094
10.7,17,4.232628
7.4,18,4.235227
8.1,11,4.236824
-5.4,6,4.237708
4.2,12,4.239455
-11.0,11,4.241072
-0.9,16,4.243397
7.0,13,4.245282
4.9,15,4.247436
8.9,12,4.249186
5.7,5,4.249928
-10.1,2,4.250231
8.9,12,4.25197
9.3,8,4.253145
-10.0,1,4.253308
6.8,3,4.253759
8.0,12,4.255499
7.6,16,4.25782
3.7,17,4.260276
6.7,4,4.260871
-11.0,11,4.262468
-11.8,10,4.263924
8.3,9,4.265246
9.1,10,4.266702
10.9,15,4.268871
4.1,11,4.270478
4.9,15,4.27263
8.0,12,4.274365
-11.0,11,4.275949
1.7,18,4.278541
2.9,17,4.281016
4.8,16,4.283313
-10.6,7,4.284352
8.5,16,4.286667
3.8,14,4.288691
1.3,11,4.290291
5.8,15,4.292465
-13.8,11,4.294061
5.8,15,4.296228
-13.1,4,4.296838
6.3,19,4.299582
6.0,13,4.301466
-11.3,5,4.302208
-12.2,4,4.302825
6.1,12,4.304575
-12.1,3,4.305024
6.9,2,4.305328
-15.1,14,4.632879
4.8,15,4.635149
-10.5,6,4.636052
9.3,8,4.637243
6.0,13,4.639147
-10.6,7,4.640193
1.8,17,4.642673
-10.0,1,4.642844
6.7,16,4.645178
7.3,9,4.646502
-10.4,5,4.647254
8.8,13,4.649152
-11.5,7,4.650182
6.9,14,4.652221
5.8,15,4.654402
9.1,10,4.655872
9.0,11,4.657479
-10.1,2,4.657792
4.0,14,4.659823
-12.4,20,4.662754
7.0,12,4.664801
3.9,15,4.667076
5.0,14,4.669167
9.1,10,4.670684
4.4,19,4.673482
9.1,10,4.674976
-10.3,4,4.675582
12.6,17,4.678077
7.2,10,4.679558
-7.3,6,4.680456
-10.2,3,4.680915
5.9,14,4.682972
-10.5,6,4.68387
-11.7,18,4.686496
-11.6,17,4.688985
7.9,13,4.690892
7.9,13,4.692801
-5.1,3,4.693262
9.2,9,4.694601
9.3,8,4.695782
2.4,9,4.697105
8.2,10,4.69858
-10.1,2,4.698894
5.3,10,4.700359
-10.2,3,4.700818
-10.0,1,4.700983
-10.0,1,4.701147
9.2,9,4.70247
7.9,13,4.704381
-15.8,13,4.706276
-10.3,4,4.706882
6.8,14,4.708947
0.1,16,4.711271
-10.5,6,4.712161
8.2,10,4.713625
9.1,10,4.715097
8.8,13,4.717008
-10.0,1,4.717175
8.7,14,4.719233
-11.0,11,4.720854
2.8,6,4.721753
8.0,12,4.723556
7.8,14,4.725598
6.7,16,4.727926
0.1,15,4.730117
7.0,12,4.731872
-12.5,7,4.732905
-10.6,7,4.73394
-10.5,6,4.734829
-10.7,8,4.73602
-13.8,11,4.737634
-10.5,6,4.73854
9.1,10,4.740012
7.9,13,4.741909
3.5,19,4.74467
5.1,12,4.746426
-12.2,14,4.748472
9.0,11,4.750082
7.3,9,4.75142
-13.1,13,4.75331
-11.3,14,4.755348
7.2,10,4.756814
8.6,15,4.759013
-12.3,5,4.75976
-10.1,2,4.760068
8.1,11,4.761674
8.2,10,4.763143
7.8,14,4.765178
7.8,14,4.767228
-10.2,3,4.767687
-6.3,6,4.768577
8.0,12,4.770328
-6.6,18,4.77294
-14.0,13,4.774842
7.2,10,4.776318
6.0,13,4.77822
-3.9,20,4.78112
7.2,10,4.782652
3.9,15,4.784827
8.7,14,4.786857
7.8,14,4.788918
-15.1,15,4.791098
-15.4,8,4.792271
-10.5,6,4.793149
-12.8,10,4.794607
7.2,11,4.796208
6.9,13,4.798093
-6.7,20,4.800968
9.2,9,4.802383
-12.3,6,4.803276
4.0,14,4.805318
13.7,15,4.807506
-15.0,13,4.809391
8.8,13,4.811286
3.8,14,4.813313
6.6,17,4.815774
6.1,12,4.817522
-10.0,1,4.817687
-10.0,1,4.817849
-10.0,1,4.81801
-10.1,2,4.818314
7.0,12,4.820058
