#{"t_start": 1753948336.807643, "env_id": "None"}
r,l,t
-8.1,5,1.776082
4.4,20,1.780325
-26.9,20,1.783879
-19.9,15,1.786749
-10.7,8,1.788521
6.0,13,1.790931
-11.5,20,1.794425
-12.3,5,1.795231
8.2,10,1.798194
4.6,7,1.79911
-10.3,4,1.79997
-11.4,20,1.804412
3.7,16,1.807592
-10.4,20,1.811258
-5.4,20,1.81485
-1.4,20,1.818393
-7.7,20,1.822214
-5.7,13,1.825144
-10.0,1,1.825793
6.9,2,1.825961
2.9,16,1.828867
5.7,16,1.832147
-10.0,1,1.832839
-10.1,2,1.832939
-4.1,20,1.836817
-9.5,20,1.841343
9.0,11,1.843735
-10.4,5,1.844577
16.6,19,1.848926
-10.0,1,1.848988
2.4,9,1.850617
0.7,20,1.855184
-14.6,9,1.857482
-15.5,19,1.860594
-9.4,20,1.864077
-16.3,17,1.867414
0.7,19,1.870655
5.5,19,1.874762
-1.9,17,1.87855
-3.4,20,1.882424
5.8,15,1.885598
-13.2,20,1.889623
-10.3,4,1.890484
-8.0,20,1.89395
-12.3,20,1.897442
-12.2,20,1.901132
-8.5,20,1.905026
-11.1,18,1.908691
-10.4,20,1.913043
-14.0,20,1.917072
-11.2,4,1.91786
-4.3,20,1.922083
-10.1,2,1.922265
-10.1,2,1.922955
-10.0,1,1.923085
-8.2,15,1.925893
-2.4,20,1.929362
-11.2,13,1.931694
-15.5,9,1.933982
-7.6,20,1.93781
-2.9,20,1.941845
-4.4,20,1.945569
-16.1,20,1.949157
-14.5,18,1.953045
-9.4,20,1.956976
-13.3,6,1.95785
-5.7,20,1.961487
-11.4,20,1.965229
-11.4,20,1.969734
-7.1,20,1.973906
1.2,20,1.977641
-3.1,20,1.981137
2.9,17,1.984204
13.8,14,1.987222
-14.1,18,1.990492
-6.6,20,1.99415
8.1,11,1.996451
3.3,12,1.998961
-11.3,5,2.000335
-10.0,1,2.000946
0.6,20,2.005148
-1.3,20,2.009244
-10.4,20,2.013073
7.7,18,2.015937
-10.3,4,2.016756
4.9,3,2.017405
-10.1,2,2.017487
1.1,13,2.020227
1.6,20,2.025432
-14.2,20,2.029234
-0.8,15,2.031769
-10.0,1,2.032387
19.2,11,2.034207
7.0,1,2.034822
-16.0,20,2.038925
8.3,9,2.040742
4.9,15,2.043677
-14.5,8,2.045203
-7.0,13,2.048172
-15.3,16,2.051413
-10.2,3,2.052161
-12.6,9,2.054175
7.0,12,2.056784
-11.3,5,2.057686
-9.5,9,2.059302
-22.1,19,2.062897
4.3,11,2.065116
-16.6,11,2.067261
-10.0,1,2.067915
6.9,2,2.068012
-0.8,15,2.071263
3.1,15,2.074568
-5.7,20,2.078351
-11.3,5,2.079253
3.7,18,2.082774
4.2,12,2.085153
-10.5,20,2.08923
3.6,7,2.090032
-15.6,10,2.092782
-0.6,20,2.096686
-4.8,20,2.101017
-18.2,18,2.104099
3.0,16,2.107315
-10.0,1,2.10791
-10.0,1,2.107968
8.6,15,2.111199
-13.9,12,2.113359
-6.7,20,2.117215
-6.7,20,2.121805
-16.0,15,2.124415
-0.6,12,2.126842
2.2,12,2.129185
-9.4,20,2.133003
-11.4,20,2.136497
-4.4,20,2.140377
-6.7,20,2.144078
1.1,13,2.146913
5.6,18,2.150197
2.9,15,2.153777
-10.1,2,2.153872
6.0,14,2.157432
-14.4,8,2.158972
-13.7,10,2.160486
-6.3,20,2.164289
-10.5,6,2.165698
-16.4,18,2.168574
-5.7,20,2.173352
5.2,11,2.175704
-20.3,19,2.179769
-14.8,12,2.182377
3.9,16,2.185676
-17.6,12,2.188506
-3.8,20,2.192435
-10.1,2,2.192588
-5.7,9,2.194734
-4.8,20,2.198528
-11.3,20,2.202405
-7.6,20,2.206544
-8.6,20,2.211184
-12.8,11,2.212935
13.2,20,2.217181
10.9,15,2.220285
-8.5,20,2.224216
3.2,11,2.226379
-10.2,3,2.22709
13.1,12,2.229393
-15.1,20,2.232842
-12.2,20,2.236387
-7.6,20,2.241154
-4.1,18,2.244586
-8.6,20,2.248381
-3.0,18,2.252209
-10.6,7,2.253264
-16.0,15,2.256636
-9.5,20,2.260364
6.9,13,2.262566
2.0,16,2.265448
-10.1,2,2.266125
-11.3,5,2.267463
-10.0,1,2.267513
-10.0,1,2.268104
-10.3,4,2.268792
6.9,2,2.268944
-5.7,20,2.272915
-5.8,20,2.276953
-13.7,19,2.280768
-9.6,20,2.284349
-12.5,7,2.285731
5.9,3,2.28636
-10.0,1,2.286992
-10.0,1,2.287054
-10.0,1,2.287105
-8.2,20,2.291379
4.7,6,2.293016
9.2,9,2.294761
-15.1,14,2.297183
-10.1,2,2.29782
-10.0,1,2.297878
6.8,3,2.299172
-10.0,1,2.29923
-5.4,6,2.300542
6.2,11,2.302642
-10.0,1,2.303332
-5.3,20,2.307908
-5.1,3,2.308054
7.6,16,2.310995
8.3,18,2.314775
4.7,5,2.315573
-7.2,20,2.319846
-10.3,20,2.324623
5.8,4,2.325392
-18.8,15,2.328349
-11.3,5,2.329243
4.5,7,2.330718
-10.3,20,2.334228
-11.2,4,2.334988
1.6,8,2.336468
4.4,8,2.338435
-11.3,5,2.339829
-10.0,1,2.339957
1.4,10,2.342134
-8.0,13,2.344781
0.7,18,2.348727
-4.8,20,2.352724
-11.4,20,2.357226
-8.5,20,2.361052
-7.5,20,2.364624
-15.2,20,2.368062
-6.6,20,2.372815
6.6,5,2.373616
-10.0,1,2.373678
4.1,14,2.376982
3.8,18,2.380432
-19.0,16,2.383395
7.2,20,2.387219
-16.8,12,2.389888
6.9,2,2.390632
-10.6,7,2.391774
-5.8,20,2.395897
-14.9,13,2.399113
-21.7,16,2.402123
-18.9,18,2.406039
-12.2,4,2.406838
-13.3,20,2.410381
-10.0,1,2.410435
6.9,2,2.411117
2.5,19,2.414841
4.1,11,2.416421
-10.4,19,2.420889
7.3,20,2.425455
6.4,18,2.429201
-10.3,4,2.430064
-17.3,8,2.431612
-10.1,2,2.431774
-10.0,1,2.431827
-10.3,4,2.432658
-6.7,20,2.436315
-11.3,20,2.440277
-0.2,19,2.44475
0.2,14,2.447715
5.5,7,2.448632
-15.2,15,2.451636
-6.7,20,2.45675
-13.4,12,2.459067
-10.1,2,2.459831
4.5,8,2.461286
-12.8,10,2.462967
6.8,3,2.463741
-8.5,20,2.468198
-9.5,20,2.472762
5.8,16,2.475873
-5.8,20,2.479676
-11.0,11,2.48212
-6.6,20,2.485799
5.5,19,2.489468
6.9,13,2.492348
9.2,9,2.493849
-11.4,6,2.494676
-10.2,3,2.495926
-1.9,15,2.498789
-6.7,20,2.5029
-7.5,20,2.507675
-12.0,12,2.510133
-8.4,20,2.513702
-11.4,20,2.517203
-9.5,20,2.521075
-6.6,9,2.522681
-20.2,19,2.526378
6.3,8,2.528507
-10.5,6,2.529426
-11.3,5,2.53084
1.7,17,2.534288
-6.7,20,2.538708
-4.4,20,2.542627
-9.5,20,2.546509
-12.1,3,2.547223
-10.1,2,2.547373
-10.0,1,2.547435
-10.0,1,2.54858
-3.5,20,2.552566
-19.5,20,2.55754
-9.5,20,2.561942
6.6,5,2.56289
-12.3,6,2.56389
-0.6,20,2.568026
-14.7,10,2.570533
-12.4,6,2.571801
-6.6,20,2.575557
-9.5,20,2.580207
-14.6,9,2.582567
-7.5,20,2.586863
-12.3,5,2.588154
5.7,5,2.589156
-5.6,20,2.593046
-10.0,1,2.593099
-10.0,1,2.593699
-10.1,2,2.593786
-4.7,20,2.597364
-9.5,20,2.601665
-11.0,2,2.602341
-10.0,1,2.602399
-10.0,1,2.602451
-12.4,6,2.603908
-10.0,1,2.603967
-11.4,20,2.608258
-5.6,20,2.612472
-9.5,10,2.614066
-7.7,20,2.61785
-13.2,5,2.619865
-10.6,7,2.621242
-8.5,20,2.625464
-7.6,20,2.62957
-12.3,20,2.633538
-6.6,20,2.637281
6.3,8,2.639224
-2.5,20,2.642989
-10.0,1,2.643603
2.7,18,2.646778
-15.4,9,2.648924
4.5,7,2.650445
-7.5,20,2.654799
-7.6,20,2.658599
4.5,7,2.660048
-12.1,3,2.660788
7.0,1,2.660846
-10.0,1,2.660895
-10.0,1,2.660941
-10.4,5,2.662594
6.6,5,2.663888
-10.5,20,2.667836
-10.1,2,2.667995
-7.6,20,2.672438
-10.1,2,2.673283
-13.0,3,2.674043
-0.2,5,2.674794
-10.0,1,2.674915
-10.1,2,2.67561
-11.6,8,2.677358
-12.7,9,2.679401
-13.4,20,2.683348
-13.3,20,2.687903
-6.6,20,2.691917
-5.7,20,2.6961
-6.5,20,2.699998
-13.7,10,2.701709
-10.3,4,2.702465
-9.4,20,2.706623
-8.5,20,2.710382
-10.1,2,2.711676
-4.7,20,2.716349
-1.2,18,2.719719
-12.2,5,2.721349
-10.0,1,2.721449
-9.4,20,2.725585
-9.4,20,2.729372
-10.5,20,2.732932
6.4,20,2.736712
-13.5,8,2.73848
-10.3,4,2.739915
-10.5,6,2.74088
-12.2,4,2.741644
-5.3,5,2.743052
