#{"t_start": 1753906027.9942641, "env_id": "None"}
r,l,t
-10.0,1,2.335996
-7.0,3,2.336748
-17.7,20,2.339249
-16.1,20,2.341324
-12.4,20,2.343389
-12.5,7,2.34529
3.2,14,2.347425
4.9,3,2.3487
4.9,3,2.34962
-10.3,4,2.350597
6.6,5,2.351705
-10.0,1,2.352445
7.0,1,2.352997
7.0,1,2.353538
6.5,6,2.354598
4.8,4,2.355675
-13.9,12,2.357504
-12.7,13,2.359754
-9.5,20,2.362731
-25.6,20,2.366141
-7.4,17,2.368296
6.9,2,2.370482
7.0,1,2.371259
-12.2,4,2.374719
-9.5,20,2.422321
3.7,6,2.424401
-15.0,14,2.427049
-26.5,20,2.430242
-18.0,5,2.430891
-0.9,14,2.432336
-5.3,20,2.435736
-11.4,20,2.439056
-18.0,20,2.442313
-13.8,11,2.443546
-10.4,20,2.446495
-6.6,14,2.449212
1.0,5,2.450885
-19.0,20,2.453576
-20.0,16,2.455266
-16.1,20,2.457318
7.0,1,2.457551
-11.0,2,2.458246
0.4,10,2.459778
-12.8,11,2.461718
-10.1,2,2.46279
7.0,1,2.463419
7.0,1,2.463968
-10.0,1,2.464502
7.0,1,2.465031
9.3,12,2.466796
-10.0,1,2.46783
7.0,1,2.468433
7.0,1,2.468999
7.0,1,2.469559
6.8,3,2.470328
7.0,1,2.470978
7.0,1,2.471533
7.0,1,2.472083
-15.2,20,2.474505
-9.3,7,2.475331
4.7,5,2.476575
-11.0,20,2.4792
-28.4,20,2.482489
-23.8,20,2.48459
7.0,1,2.484825
5.0,2,2.485564
7.0,1,2.486191
-6.5,13,2.48794
6.7,4,2.489297
-15.8,20,2.491887
-24.8,17,2.493675
-8.8,17,2.495434
-18.9,20,2.498527
-16.2,20,2.500646
1.8,6,2.501377
7.8,6,2.502717
-1.1,6,2.504014
3.9,4,2.505113
-10.0,1,2.505816
7.0,1,2.506378
4.9,3,2.507146
-12.0,2,2.507969
-10.1,2,2.508712
11.8,4,2.509644
-10.1,2,2.510443
5.0,2,2.511165
-10.0,1,2.511774
-10.1,2,2.51244
-14.4,7,2.513668
-18.0,5,2.514889
-10.0,1,2.515045
7.0,1,2.515614
-10.0,1,2.516212
-14.2,20,2.518629
-3.5,20,2.521829
-5.8,15,2.524569
-24.7,20,2.527611
-28.7,17,2.529421
-20.0,20,2.531503
-18.1,6,2.53223
-23.5,13,2.533623
-18.5,10,2.534719
-10.3,4,2.535203
-22.9,20,2.537799
-8.8,17,2.539582
6.9,2,2.540874
-6.3,20,2.543413
-14.2,20,2.54659
-28.6,17,2.54964
-8.6,20,2.551797
-9.5,9,2.554049
-23.8,16,2.556552
-12.2,20,2.558662
0.5,20,2.561938
-18.0,20,2.56523
-10.1,2,2.56557
4.6,6,2.566783
-28.5,20,2.56942
-29.5,20,2.57147
-25.7,20,2.57352
-1.3,8,2.57443
-22.8,20,2.577149
-24.2,12,2.578453
-9.1,20,2.580466
4.8,4,2.618975
5.0,2,2.620081
-10.0,1,2.620735
-10.0,1,2.6213
-10.0,1,2.621851
-10.0,1,2.622402
7.0,1,2.622947
7.0,1,2.623493
4.8,4,2.624345
-21.9,20,2.62729
-1.0,15,2.628944
-20.9,20,2.632254
-13.2,20,2.634691
-13.4,7,2.636845
-10.6,16,2.639239
-19.2,8,2.641147
-10.1,20,2.643184
-9.0,19,2.646374
-7.1,4,2.648009
-10.1,2,2.648855
7.0,1,2.649561
-10.0,1,2.650162
-14.1,4,2.651051
4.9,3,2.651953
-16.1,5,2.653014
-10.0,1,2.653164
-10.0,1,2.653715
7.0,1,2.654248
2.6,7,2.655399
9.4,9,2.657002
-13.2,20,2.659763
-3.5,20,2.662954
-16.2,20,2.666273
7.9,5,2.666924
6.8,3,2.667958
-14.7,10,2.669543
-25.8,17,2.672064
-16.6,11,2.673257
-5.0,2,2.673536
-10.0,1,2.674187
-10.1,2,2.674847
-12.1,3,2.675665
-10.0,1,2.676319
-10.0,1,2.676882
7.0,1,2.677427
-5.2,4,2.678275
-10.1,2,2.679059
7.0,1,2.679664
7.0,1,2.680205
-10.0,1,2.680746
7.0,1,2.721272
-10.0,1,2.722087
-10.0,1,2.722664
-10.0,1,2.723228
7.0,1,2.723781
-9.5,20,2.726259
-21.0,20,2.729963
-15.9,20,2.73212
-10.4,20,2.734593
6.8,3,2.736426
0.6,9,2.737966
7.0,1,2.738865
-10.0,1,2.739448
-10.0,1,2.739999
7.0,1,2.740546
7.0,1,2.741086
2.9,4,2.741938
-5.3,10,2.743568
6.9,2,2.74463
-16.1,20,2.747138
-18.0,20,2.749251
-3.6,12,2.75061
-22.1,8,2.752385
7.0,1,2.752562
-10.0,1,2.753184
-10.0,1,2.753768
-10.0,1,2.754331
-10.0,1,2.754886
11.9,3,2.75566
6.8,3,2.756532
7.0,1,2.757204
-9.5,20,2.759649
-32.3,20,2.762825
-11.4,20,2.764905
-13.3,20,2.76824
-12.3,5,2.77
-14.9,20,2.772662
-9.7,17,2.775887
-33.3,20,2.779005
-19.1,20,2.781114
-38.5,20,2.783237
-24.7,20,2.785317
-22.5,12,2.786611
-27.5,16,2.788271
-10.5,20,2.790307
-9.6,16,2.793195
-18.1,16,2.795896
6.9,2,2.79621
7.0,1,2.796868
-14.4,8,2.79814
-5.5,11,2.837845
-23.0,18,2.840775
2.9,4,2.841313
-1.0,5,2.842469
-10.0,1,2.84332
-10.0,1,2.844349
7.0,1,2.845018
9.9,4,2.845901
7.0,1,2.846598
2.8,5,2.847571
-31.4,20,2.850637
-10.0,1,2.850908
-9.7,12,2.852668
6.7,4,2.854008
-16.4,8,2.855475
-21.9,20,2.857487
-26.6,20,2.859584
-35.5,19,2.861593
7.0,1,2.861818
-10.2,3,2.862609
7.0,1,2.863266
5.0,2,2.86393
6.9,2,2.86465
-10.0,1,2.86526
-10.0,1,2.865843
7.0,1,2.8665
2.7,6,2.867632
-10.0,1,2.868427
7.0,1,2.869014
-9.5,20,2.871449
-16.5,9,2.873585
-26.7,20,2.875605
-9.5,20,2.877686
4.6,6,2.879548
-9.4,20,2.882274
-16.1,20,2.885536
-21.0,7,2.886354
-10.0,1,2.886508
-10.0,1,2.887121
7.0,1,2.887682
5.0,2,2.888349
-5.4,11,2.889998
-33.3,20,2.892821
6.7,4,2.893357
4.4,8,2.894791
-1.1,6,2.896221
-10.0,1,2.897022
-10.0,1,2.89759
-10.0,1,2.898143
7.0,1,2.898722
-10.0,1,2.930817
-8.8,17,2.933371
7.0,1,2.934632
-10.1,2,2.93536
-15.2,16,2.93758
-23.8,20,2.939898
-12.7,9,2.940955
2.0,4,2.942378
-15.4,12,2.944265
7.0,1,2.944469
-10.0,1,2.945041
7.0,1,2.945602
7.0,1,2.946153
-6.4,20,2.948584
-18.0,20,2.95206
-10.0,1,2.952316
-10.2,3,2.953161
-7.1,10,2.954716
-10.1,2,2.955823
-10.0,1,2.956467
-26.6,20,2.958931
-5.0,7,2.959794
-10.0,1,2.960664
-10.0,1,2.961241
-10.0,1,2.96179
-10.0,1,2.962333
7.0,1,2.962873
3.7,6,2.963945
-17.4,9,2.965532
-10.0,1,2.965709
7.0,1,2.966389
7.0,1,2.966997
-10.0,1,2.967571
6.9,2,2.968247
7.0,1,2.96886
5.0,2,2.969524
-34.3,20,2.972033
-16.1,20,2.974107
-13.9,20,2.976161
-20.6,13,2.978704
-23.7,20,2.980763
-24.6,20,2.982904
-18.3,17,2.9847
-10.0,1,2.984917
-12.3,20,2.987374
3.6,19,2.990577
-39.0,20,2.993817
-16.1,20,2.995907
-17.1,20,2.997983
-24.0,8,2.998896
-16.1,20,3.000958
-5.4,11,3.002153
-10.0,1,3.003176
-10.0,1,3.003759
7.0,1,3.004313
-10.2,3,3.005082
-13.8,19,3.007503
0.7,7,3.009391
-10.0,1,3.010236
-10.0,1,3.010802
-10.0,1,3.011352
-11.4,20,3.013766
-10.0,1,3.015065
-10.0,1,3.015665
7.0,1,3.016282
2.9,4,3.01716
6.9,2,3.017973
11.5,20,3.020442
-14.1,4,3.022036
12.0,2,3.022871
4.9,3,3.023702
7.0,1,3.024337
-20.5,11,3.025898
3.8,5,3.026485
7.0,1,3.027206
-10.0,1,3.027755
-10.0,1,3.028287
7.0,1,3.028822
-10.0,1,3.029345
-10.1,2,3.029982
-10.0,1,3.030567
6.9,2,3.031203
-10.0,1,3.031786
-10.0,1,3.032312
-10.0,1,3.032885
7.0,1,3.033446
5.0,2,3.034114
3.7,6,3.035256
5.0,2,3.036131
5.0,2,3.036864
-10.0,1,3.037473
-10.0,1,3.038028
7.0,1,3.038574
-16.0,4,3.03944
7.0,1,3.03959
4.9,3,3.040353
-7.6,14,3.042291
-10.0,1,3.043368
-10.0,1,3.043952
-10.0,1,3.044504
7.0,1,3.085838
-14.1,4,3.086978
6.8,3,3.087926
5.0,2,3.088708
-7.0,8,3.090071
-5.7,20,3.093134
-9.5,20,3.096643
-14.5,8,3.098738
-25.6,20,3.101935
-3.8,20,3.104051
-16.2,6,3.105959
-23.8,20,3.107983
6.9,2,3.108321
-6.6,20,3.110864
-10.0,1,3.112182
7.0,1,3.1128
-3.0,18,3.115033
1.4,10,3.11725
-12.3,20,3.120093
-10.0,1,3.121446
7.0,1,3.122045
-20.3,9,3.12341
7.0,1,3.123589
7.0,1,3.124143
5.0,2,3.124797
6.9,2,3.125513
7.0,1,3.126125
-22.8,20,3.128536
-18.9,20,3.130609
-35.2,20,3.132802
-10.5,20,3.134997
-10.0,1,3.136384
-21.0,20,3.138941
-22.9,20,3.141073
-25.6,15,3.142719
6.8,3,3.143132
-10.0,1,3.143807
-19.9,20,3.1463
-12.3,20,3.14844
-30.4,20,3.151703
-1.1,6,3.152434
10.0,3,3.153472
5.0,2,3.154245
-16.1,5,3.155286
7.0,1,3.155435
5.0,2,3.156088
7.0,1,3.156693
7.0,1,3.157252
-9.4,20,3.159713
-13.2,20,3.162944
-7.8,16,3.20427
-4.4,11,3.206786
7.0,1,3.207799
-10.2,3,3.208611
5.0,2,3.20952
-10.0,1,3.210797
-10.1,2,3.211679
7.0,1,3.212344
-10.0,1,3.212921
-10.0,1,3.213495
-10.0,1,3.214064
7.0,1,3.214613
-24.6,20,3.217349
-14.2,15,3.218988
-5.8,20,3.222145
12.2,16,3.225023
-28.5,20,3.228151
-15.3,16,3.229871
7.0,1,3.230099
-8.0,19,3.232545
-10.1,2,3.233975
-10.0,1,3.234636
-10.0,1,3.23519
-10.0,1,3.235732
7.0,1,3.236269
6.9,2,3.236911
2.7,10,3.238421
-23.7,20,3.241211
-18.0,20,3.243293
-1.1,6,3.244018
-19.9,20,3.246674
-17.1,20,3.248761
-15.3,7,3.249679
-18.9,20,3.251686
-14.2,20,3.253756
-25.7,20,3.256966
-20.9,20,3.259052
-18.1,20,3.261145
-12.4,10,3.262244
3.0,3,3.263424
3.4,12,3.265205
7.0,1,3.266324
-10.0,1,3.266955
7.0,1,3.267527
6.8,3,3.268295
-24.3,11,3.270008
-12.4,6,3.270717
-10.4,5,3.271929
-10.3,20,3.274589
-20.3,9,3.276755
-23.8,20,3.278804
-11.4,20,3.280909
-10.1,20,3.284223
-19.9,20,3.287509
4.9,3,3.287958
6.9,2,3.288865
-10.0,1,3.289511
6.4,7,3.290705
2.9,4,3.291856
7.0,1,3.292564
-0.6,20,3.295025
7.0,1,3.296341
-10.0,1,3.296938
7.0,1,3.297486
-23.8,20,3.299972
-16.5,9,3.30101
2.5,8,3.301874
-22.0,18,3.304446
-14.3,17,3.306263
-16.0,20,3.309419
-12.2,4,3.309958
-33.3,20,3.312614
-24.7,20,3.314741
-2.1,16,3.316564
-29.5,20,3.319649
-18.1,20,3.321757
-15.3,20,3.323858
-16.0,20,3.325956
-5.2,9,3.326993
-3.1,7,3.32856
-10.4,20,3.331314
-17.0,20,3.334552
4.9,3,3.334997
7.0,1,3.335719
7.0,1,3.336282
7.0,1,3.336831
4.9,3,3.337585
-21.0,20,3.3401
-29.5,20,3.342172
-7.2,10,3.343274
-10.0,1,3.34421
6.0,2,3.344897
1.0,4,3.345822
-27.6,20,3.348372
-19.0,20,3.350451
-33.3,20,3.352495
-14.2,20,3.354536
-9.5,20,3.357736
5.0,2,3.359196
-10.2,3,3.360069
7.0,1,3.397055
5.0,2,3.398001
-10.0,1,3.398646
-10.0,1,3.399236
7.0,1,3.399796
-8.6,20,3.402249
-38.1,20,3.405935
-22.4,15,3.407584
3.0,3,3.407996
-3.4,10,3.409921
-9.0,4,3.411241
7.0,1,3.411973
-12.4,20,3.414416
-3.1,7,3.416606
2.8,5,3.418032
7.0,1,3.418806
7.0,1,3.419389
7.0,1,3.419956
5.0,2,3.420624
7.0,1,3.421246
-10.0,1,3.421807
7.0,1,3.422365
6.0,2,3.423025
-3.0,6,3.424158
-10.0,1,3.424933
7.0,1,3.4255
-7.0,8,3.42677
4.9,3,3.427841
1.0,4,3.428829
7.0,1,3.429532
6.9,2,3.430201
-10.0,1,3.430805
-10.0,1,3.431356
-10.0,1,3.431906
-10.0,1,3.432475
